metric,value,dataset
n_rows,2763562.0,expB_imbalance_moderado_replacebg_original
n_patients,60.0,expB_imbalance_moderado_replacebg_original
pct_hypo,4.073800406866211,expB_imbalance_moderado_replacebg_original
pct_normo,62.96294420027486,expB_imbalance_moderado_replacebg_original
pct_hyper,32.963255392858926,expB_imbalance_moderado_replacebg_original
autocorr_lag1,0.9938194047236724,expB_imbalance_moderado_replacebg_original
roc_violations,61000.0,expB_imbalance_moderado_replacebg_original
roc_pct,2.225629178071496,expB_imbalance_moderado_replacebg_original
n_rows,3014120.0,expB_imbalance_moderado_replacebg_ros_global
n_patients,60.0,expB_imbalance_moderado_replacebg_ros_global
pct_hypo,12.047960930553527,expB_imbalance_moderado_replacebg_ros_global
pct_normo,57.72895571510092,expB_imbalance_moderado_replacebg_ros_global
pct_hyper,30.223083354345547,expB_imbalance_moderado_replacebg_ros_global
autocorr_lag1,0.9947222799187386,expB_imbalance_moderado_replacebg_ros_global
roc_violations,64322.0,expB_imbalance_moderado_replacebg_ros_global
roc_pct,2.15026228907559,expB_imbalance_moderado_replacebg_ros_global
n_rows,3014120.0,expB_imbalance_moderado_replacebg_H5_strat_ros
n_patients,60.0,expB_imbalance_moderado_replacebg_H5_strat_ros
pct_hypo,12.047960930553527,expB_imbalance_moderado_replacebg_H5_strat_ros
pct_normo,57.72895571510092,expB_imbalance_moderado_replacebg_H5_strat_ros
pct_hyper,30.223083354345547,expB_imbalance_moderado_replacebg_H5_strat_ros
autocorr_lag1,0.9947222799187386,expB_imbalance_moderado_replacebg_H5_strat_ros
roc_violations,64322.0,expB_imbalance_moderado_replacebg_H5_strat_ros
roc_pct,2.15026228907559,expB_imbalance_moderado_replacebg_H5_strat_ros
n_rows,5763226.0,expB_imbalance_moderado_replacebg_H5_strat_smote
n_patients,60.0,expB_imbalance_moderado_replacebg_H5_strat_smote
pct_hypo,26.740145189517122,expB_imbalance_moderado_replacebg_H5_strat_smote
pct_normo,57.14827077751246,expB_imbalance_moderado_replacebg_H5_strat_smote
pct_hyper,16.111584032970423,expB_imbalance_moderado_replacebg_H5_strat_smote
autocorr_lag1,0.9816541248874511,expB_imbalance_moderado_replacebg_H5_strat_smote
roc_violations,293987.0,expB_imbalance_moderado_replacebg_H5_strat_smote
roc_pct,5.121312535471883,expB_imbalance_moderado_replacebg_H5_strat_smote
n_rows,2698262.0,expJ_episodios_cortos_replacebg_original
n_patients,60.0,expJ_episodios_cortos_replacebg_original
pct_hypo,1.752313155653528,expJ_episodios_cortos_replacebg_original
pct_normo,64.48669550992454,expJ_episodios_cortos_replacebg_original
pct_hyper,33.76099133442194,expJ_episodios_cortos_replacebg_original
autocorr_lag1,0.9933482647292233,expJ_episodios_cortos_replacebg_original
roc_violations,59370.0,expJ_episodios_cortos_replacebg_original
roc_pct,2.2255735153377887,expJ_episodios_cortos_replacebg_original
n_rows,3012524.0,expJ_episodios_cortos_replacebg_ros_global
n_patients,60.0,expJ_episodios_cortos_replacebg_ros_global
pct_hypo,12.001364968378676,expJ_episodios_cortos_replacebg_ros_global
pct_normo,57.7595398410104,expJ_episodios_cortos_replacebg_ros_global
pct_hyper,30.239095190610932,expJ_episodios_cortos_replacebg_ros_global
autocorr_lag1,0.9942487051437628,expJ_episodios_cortos_replacebg_ros_global
roc_violations,72179.0,expJ_episodios_cortos_replacebg_ros_global
roc_pct,2.4205797063539256,expJ_episodios_cortos_replacebg_ros_global
n_rows,3313779.0,expJ_episodios_cortos_replacebg_H5_strat_ros
n_patients,60.0,expJ_episodios_cortos_replacebg_H5_strat_ros
pct_hypo,20.001303647587847,expJ_episodios_cortos_replacebg_H5_strat_ros
pct_normo,52.508631384289664,expJ_episodios_cortos_replacebg_H5_strat_ros
pct_hyper,27.490064968122496,expJ_episodios_cortos_replacebg_H5_strat_ros
autocorr_lag1,0.9946352361821279,expJ_episodios_cortos_replacebg_H5_strat_ros
roc_violations,84455.0,expJ_episodios_cortos_replacebg_H5_strat_ros
roc_pct,2.5723818388715207,expJ_episodios_cortos_replacebg_H5_strat_ros
n_rows,10081898.0,expJ_episodios_cortos_replacebg_H5_strat_smote
n_patients,60.0,expJ_episodios_cortos_replacebg_H5_strat_smote
pct_hypo,16.68299957012063,expJ_episodios_cortos_replacebg_H5_strat_smote
pct_normo,73.42420048288527,expJ_episodios_cortos_replacebg_H5_strat_smote
pct_hyper,9.892799946994108,expJ_episodios_cortos_replacebg_H5_strat_smote
autocorr_lag1,0.9492686917250664,expJ_episodios_cortos_replacebg_H5_strat_smote
roc_violations,793175.0,expJ_episodios_cortos_replacebg_H5_strat_smote
roc_pct,7.891296844983561,expJ_episodios_cortos_replacebg_H5_strat_smote
